"id";"category";"code";"created_at";"description";"image";"internal_reference";"inventory_status";"name";"price";"quantity";"rating";"shell_id";"updated_at"
2;"Console";"PS5-001";1760817298332;"Sony next-gen console with ultra-fast SSD and ray tracing.";"https://m.media-amazon.com/images/I/51mWHXY8hyL._AC_SL1500_.jpg";"PS5STD-INT";"OUTOFSTOCK";"PlayStation 5";549.99;25;5;1;1760817298332
3;"Console";"SWITCH-002";1760817302896;"Hybrid console with vivid 7-inch OLED display.";"https://assets.nintendo.com/image/upload/f_auto/q_auto/dpr_2.0/ncom/en_US/switch/system/three-modes-in-one";"SWOLED-INT";"INSTOCK";"Nintendo Switch OLED";349.99;40;4;2;1760817302896
4;"Console";"XBOX-003";1760817308472;"Microsoft’s most powerful console with 4K 120fps gaming.";"https://m.media-amazon.com/images/I/61JGKhqxHxL._SL1500_.jpg";"XSX-INT";"LOWSTOCK";"Xbox Series X";529.99;15;5;3;1760817308472
5;"Game";"GAME-004";1760817312207;"Open-world action RPG from FromSoftware.";"https://cdn.cloudflare.steamstatic.com/steam/apps/1245620/header.jpg";"ER-INT";"INSTOCK";"Elden Ring";69.99;120;5;4;1760817312207
6;"Game";"GAME-005";1760817315845;"Action RPG set in a dystopian future, now fully optimized.";"https://cdn.cloudflare.steamstatic.com/steam/apps/1091500/header.jpg";"CP2077-INT";"INSTOCK";"Cyberpunk 2077";59.99;75;4;5;1760817315845
7;"Accessory";"ACC-006";1760818956495;"Haptic feedback and adaptive triggers for immersive PS5 gaming.";"https://m.media-amazon.com/images/I/61O9tWR6WDS._AC_SL1500_.jpg";"DS-INT";"INSTOCK";"DualSense Wireless Controller";69.99;90;5;6;1760818956495
8;"Accessory";"ACC-007";1760818961424;"Surround sound and crystal-clear chat for Xbox Series X/S and PC.";"https://m.media-amazon.com/images/I/61GPRA5YbML._AC_UF1000,1000_QL80_.jpg";"XBHS-INT";"INSTOCK";"Xbox Wireless Headset";99.99;40;4;7;1760818961424
9;"Console";"PC-008";1760818964856;"Portable gaming PC powered by SteamOS and AMD Zen 2 processor.";"https://cdn.cloudflare.steamstatic.com/steamdeck/images/steamdeck_social.jpg";"SD512-INT";"LOWSTOCK";"Steam Deck 512GB";649.99;10;5;8;1760818964856
10;"Accessory";"MOU-009";1760818968376;"Ultra-light wireless gaming mouse used by esports professionals.";"https://m.media-amazon.com/images/I/61mpMH5TzkL._AC_SL1500_.jpg";"LOGIPROX-INT";"INSTOCK";"Logitech G Pro X Superlight";149.99;120;5;9;1760818968376
11;"Accessory";"KEY-010";1760818972245;"Compact 60% optical gaming keyboard with RGB Chroma lighting.";"https://assets2.razerzone.com/images/razer-huntsman-mini/razer-huntsman-mini-2020-OGimg.jpg";"RHM-INT";"INSTOCK";"Razer Huntsman Mini";119.99;70;4;10;1760818972245
12;"Accessory";"HEAD-011";1760818975757;"Wireless multi-platform headset with spatial audio and long battery life.";"https://media.ldlc.com/r1600/ld/products/00/05/99/99/LD0005999904.jpg";"SSN7-INT";"INSTOCK";"SteelSeries Arctis Nova 7";179.99;55;5;11;1760818975757
13;"Display";"MON-012";1760818979364;"165Hz QHD gaming monitor with G-SYNC support.";"https://m.media-amazon.com/images/I/81KOC++wn7L._AC_UF1000,1000_QL80_.jpg";"ROG27-INT";"INSTOCK";"ASUS ROG Strix 27” Monitor";399.99;30;5;12;1760818979364
14;"Component";"COOL-013";1760818983325;"Efficient air cooler with 120mm fan for quiet performance.";"https://files.coolermaster.com/og-image/hyper-212-rgb-1200x630.jpg";"CM212-INT";"INSTOCK";"Cooler Master Hyper 212";44.99;200;4;13;1760818983325
15;"Component";"GPU-014";1760818987060;"High-end GPU for 4K gaming and AI workloads.";"https://m.media-amazon.com/images/I/71m9FJCubXL.jpg";"RTX4080-INT";"LOWSTOCK";"NVIDIA RTX 4080";1399.99;8;5;14;1760818987060
16;"Component";"CPU-015";1760818990836;"16-core processor with blazing-fast performance for gaming and productivity.";"https://m.media-amazon.com/images/I/5116zdA9uyL._AC__.jpg";"RYZ9-INT";"INSTOCK";"AMD Ryzen 9 7950X";539.99;35;5;15;1760896058814
